【央视】,#genre#
青岛QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛QTV-6教育,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
潍坊寿光新闻,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
泰安东平新闻,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
淄博沂源新闻,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
德州宁津新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
潍坊诸城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
滨州惠民综合,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
日照莒县TV-1,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
潍坊安丘新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
济南长清新闻,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
淄博桓台TV-1,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
青岛崂山,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
滨州无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
泰安新泰新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
济南济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
临沂蒙阴TV-1,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
临沂兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
潍坊昌乐新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
滨州沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
滨州阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
淄博公共,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
济宁邹城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
