【山东移动】,#genre#
河北卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000330/index.m3u8
贵州卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000329/index.m3u8
江西卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000335/index.m3u8
重庆卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000341/index.m3u8
海南卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000347/index.m3u8
甘肃卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000349/index.m3u8
四川卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000348/index.m3u8
河南卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000358/index.m3u8
辽宁卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com/223.99.253.7:8082/00/SNM/CHANNEL00000326/index.m3u8
【山东9店】,#genre#
CCTV-1,http://221.0.78.198:1681/hls/10201/index.m3u8
CCTV-2,http://221.0.78.198:1681/hls/10202/index.m3u8
CCTV-3,http://221.0.78.198:1681/hls/10203/index.m3u8
CCTV-4,http://221.0.78.198:1681/hls/10204/index.m3u8
CCTV-5,http://221.0.78.198:1681/hls/10205/index.m3u8
CCTV-6,http://221.0.78.198:1681/hls/10206/index.m3u8
CCTV-7,http://221.0.78.198:1681/hls/10207/index.m3u8
CCTV-8,http://221.0.78.198:1681/hls/10208/index.m3u8
CCTV-9,http://221.0.78.198:1681/hls/10209/index.m3u8
CCTV-10,http://221.0.78.198:1681/hls/10210/index.m3u8
CCTV-11,http://221.0.78.198:1681/hls/10211/index.m3u8
CCTV-12,http://221.0.78.198:1681/hls/10212/index.m3u8
CCTV-13,http://221.0.78.198:1681/hls/10213/index.m3u8
CCTV-14,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV-15,http://221.0.78.198:1681/hls/10215/index.m3u8
CGTN,http://221.0.78.198:1681/hls/10216/index.m3u8
CCTV-17,http://221.0.78.198:1681/hls/10289/index.m3u8
山东卫视,http://221.0.78.198:1681/hls/10218/index.m3u8
CCTV-5+,http://221.0.78.198:1681/hls/10217/index.m3u8
山东综艺,http://221.0.78.198:1681/hls/10220/index.m3u8
山东影视,http://221.0.78.198:1681/hls/10219/index.m3u8
山东公共,http://221.0.78.198:1681/hls/10222/index.m3u8
山东农科,http://221.0.78.198:1681/hls/10223/index.m3u8
山东体育,http://221.0.78.198:1681/hls/10224/index.m3u8
山东齐鲁,http://221.0.78.198:1681/hls/10225/index.m3u8
山东生活,http://221.0.78.198:1681/hls/10226/index.m3u8
山东少儿,http://221.0.78.198:1681/hls/10227/index.m3u8
山东国际,http://221.0.78.198:1681/hls/10228/index.m3u8
山东教育,http://221.0.78.198:1681/hls/10221/index.m3u8
济南新闻综合,http://221.0.78.198:1681/hls/10279/index.m3u8
济南生活,http://221.0.78.198:1681/hls/10281/index.m3u8
济南影视,http://221.0.78.198:1681/hls/10282/index.m3u8
济南娱乐,http://221.0.78.198:1681/hls/10283/index.m3u8
济南少儿,http://221.0.78.198:1681/hls/10285/index.m3u8
济南商务,http://221.0.78.198:1681/hls/10284/index.m3u8
济南都市,http://221.0.78.198:1681/hls/10280/index.m3u8
济南教育,http://221.0.78.198:1681/hls/10286/index.m3u8
北京卫视,http://221.0.78.198:1681/hls/10230/index.m3u8
湖北卫视,http://221.0.78.198:1681/hls/10229/index.m3u8
湖南卫视,http://221.0.78.198:1681/hls/10233/index.m3u8
江苏卫视,http://221.0.78.198:1681/hls/10234/index.m3u8
浙江卫视,http://221.0.78.198:1681/hls/10231/index.m3u8
东方卫视,http://221.0.78.198:1681/hls/10232/index.m3u8
陕西卫视,http://221.0.78.198:1681/hls/10245/index.m3u8
天津卫视,http://221.0.78.198:1681/hls/10246/index.m3u8
江西卫视,http://221.0.78.198:1681/hls/10247/index.m3u8
山西卫视,http://221.0.78.198:1681/hls/10248/index.m3u8
贵州卫视,http://221.0.78.198:1681/hls/10249/index.m3u8
甘肃卫视,http://221.0.78.198:1681/hls/10250/index.m3u8
宁夏卫视,http://221.0.78.198:1681/hls/10251/index.m3u8
青海卫视,http://221.0.78.198:1681/hls/10252/index.m3u8
广东卫视,http://221.0.78.198:1681/hls/10253/index.m3u8
内蒙古卫视,http://221.0.78.198:1681/hls/10254/index.m3u8
西藏卫视,http://221.0.78.198:1681/hls/10255/index.m3u8
兵团卫视,http://221.0.78.198:1681/hls/10256/index.m3u8
新疆卫视,http://221.0.78.198:1681/hls/10258/index.m3u8
河南卫视,http://221.0.78.198:1681/hls/10259/index.m3u8
辽宁卫视,http://221.0.78.198:1681/hls/10260/index.m3u8
安徽卫视,http://221.0.78.198:1681/hls/10261/index.m3u8
海南卫视,http://221.0.78.198:1681/hls/10262/index.m3u8
厦门卫视,http://221.0.78.198:1681/hls/10263/index.m3u8
广西卫视,http://221.0.78.198:1681/hls/10239/index.m3u8
黑龙江卫视,http://221.0.78.198:1681/hls/10237/index.m3u8
河北卫视,http://221.0.78.198:1681/hls/10242/index.m3u8
云南卫视,http://221.0.78.198:1681/hls/10241/index.m3u8
深圳卫视,http://221.0.78.198:1681/hls/10235/index.m3u8
东南卫视,http://221.0.78.198:1681/hls/10240/index.m3u8
重庆卫视,http://221.0.78.198:1681/hls/10238/index.m3u8
四川卫视,http://221.0.78.198:1681/hls/10244/index.m3u8
吉林卫视,http://221.0.78.198:1681/hls/10243/index.m3u8
金鹰纪实,http://221.0.78.198:1681/hls/10264/index.m3u8
金鹰卡通,http://221.0.78.198:1681/hls/10265/index.m3u8
生活时尚,http://221.0.78.198:1681/hls/10275/index.m3u8
都市剧场,http://221.0.78.198:1681/hls/10276/index.m3u8
乐游,http://221.0.78.198:1681/hls/10277/index.m3u8
【山东组播】,#genre#
东方财 经,http://www.xuweihome.vip:2222/udp/239.253.248.94:8000
游戏风云,http://www.xuweihome.vip:2222/udp/239.253.248.95:8000
法制天地,http://www.xuweihome.vip:2222/udp/239.253.248.96:8000
乐游,http://www.xuweihome.vip:2222/udp/239.253.248.97:8000
都市剧场,http://www.xuweihome.vip:2222/udp/239.253.248.98:8000
生活时尚,http://www.xuweihome.vip:2222/udp/239.253.248.99:8000
魅力足球,http://www.xuweihome.vip:2222/udp/239.253.248.100:8000
金色学堂,http://www.xuweihome.vip:2222/udp/239.253.248.101:8000
动漫秀场,http://www.xuweihome.vip:2222/udp/239.253.248.115:8000
4K测试,http://www.xuweihome.vip:2222/udp/239.253.248.102:8000
CHC家庭影院,http://www.xuweihome.vip:2222/udp/239.253.248.152:8000
CHC动作电影,http://www.xuweihome.vip:2222/udp/239.253.248.153:8000
CHC高清电影,http://www.xuweihome.vip:2222/udp/239.253.248.154:8000
CCTV1高清,http://www.xuweihome.vip:2222/udp/239.253.248.77:8000
CCTV2高清,http://www.xuweihome.vip:2222/udp/239.253.248.234:8000
CCTV3,http://www.xuweihome.vip:2222/udp/239.253.248.4:8000
CCTV4,http://www.xuweihome.vip:2222/udp/239.253.248.111:8000
CCTV5,http://www.xuweihome.vip:2222/udp/239.253.248.6:8000
CCTV5+高清,http://www.xuweihome.vip:2222/udp/239.253.248.80:8000
CCTV6,http://www.xuweihome.vip:2222/udp/239.253.248.7:8000
CCTV7高清,http://www.xuweihome.vip:2222/udp/239.253.248.235:8000
CCTV8,http://www.xuweihome.vip:2222/udp/239.253.248.9:8000
CCTV9高清,http://www.xuweihome.vip:2222/udp/239.253.248.79:8000
CCTV10高清,http://www.xuweihome.vip:2222/udp/239.253.248.236:8000
CCTV11,http://www.xuweihome.vip:2222/udp/239.253.248.12:8000
CCTV12,http://www.xuweihome.vip:2222/udp/239.253.248.237:8000
CCTV13,http://www.xuweihome.vip:2222/udp/239.253.248.14:8000
CCTV14,http://www.xuweihome.vip:2222/udp/239.253.248.238:8000
CCTV15,http://www.xuweihome.vip:2222/udp/239.253.248.16:8000
CCTV17,http://www.xuweihome.vip:2222/udp/239.253.248.168:8000
CGTV,http://www.xuweihome.vip:2222/udp/239.253.248.17:8000
CETV1,http://www.xuweihome.vip:2222/udp/239.253.248.110:8000
CETV2,http://www.xuweihome.vip:2222/udp/239.253.248.107:8000
CETV4,http://www.xuweihome.vip:2222/udp/239.253.248.108:8000
山东卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.78:8000
湖南卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.82:8000
江苏卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.83:8000
浙江卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.84:8000
北京卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.85:8000
东方卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.86:8000
安徽卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.87:8000
湖北卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.88:8000
天津卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.89:8000
广东卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.90:8000
深圳卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.91:8000
辽宁卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.92:8000
